Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
Reasons,Reasons,San Cisco,13/02/2020,192298,51,0.0913,0.611,0.78,0,0.209,0.315,-3.672,0.0439,125.01,4
Criminals,THE GLOW,DMA'S,10/07/2020,195013,51,0.00171,0.471,0.672,0,0.161,0.496,-4.034,0.0313,79.008,4
Breathe Deeper,The Slow Rush,Tame Impala,14/02/2020,372866,68,0.0245,0.664,0.848,0.000127,0.172,0.502,-4.51,0.0322,104.998,4
Everybody Rise,Everybody Rise,Amy Shark,18/06/2020,190322,64,0.0335,0.702,0.676,0,0.102,0.65,-6.679,0.0526,103.057,4
Running Red Lights (feat. Rivers Cuomo & Pink Siifu),Running Red Lights (feat. Rivers Cuomo & Pink Siifu),The Avalanches,18/03/2020,279613,58,0.258,0.672,0.684,0,0.393,0.664,-6.084,0.0235,100.51,4
forget me too (feat. Halsey),Tickets To My Downfall,Machine Gun Kelly,25/09/2020,171620,79,0.000417,0.654,0.875,0.0086,0.194,0.522,-4.845,0.0744,99.975,4
SO DONE,SO DONE,The Kid LAROI,23/10/2020,126521,82,0.232,0.719,0.598,0,0.115,0.303,-6.254,0.077,142.592,4
Parasite Eve,Parasite Eve,Bring Me The Horizon,25/06/2020,291812,70,0.0289,0.589,0.797,4.35E-06,0.383,0.232,-5.464,0.15,102.489,4
Righteous,Legends Never Die,Juice WRLD,10/07/2020,242180,81,0.0417,0.706,0.625,0,0.129,0.225,-7.426,0.0314,142.948,4
Come & Go (with Marshmello),Legends Never Die,Juice WRLD,10/07/2020,205484,84,0.0172,0.625,0.814,0,0.158,0.535,-5.181,0.0657,144.991,4
I Still Dream About You,Don't Waste Your Anger,The Smith Street Band,17/04/2020,258216,51,0.000437,0.146,0.806,0.0162,0.0922,0.347,-4.863,0.043,166.882,4
WHATS POPPIN,Sweet Action,Jack Harlow,13/03/2020,139741,82,0.017,0.923,0.604,0,0.272,0.826,-6.671,0.245,145.062,4
together,together,Ziggy Alberts,24/01/2020,243000,61,0.904,0.828,0.375,3.03E-05,0.127,0.749,-10.78,0.0539,114.965,4
You & I,You & I,G Flip,2/10/2020,196281,54,0.0153,0.606,0.592,0.0417,0.223,0.287,-6.656,0.0838,179.969,4
as long as you care,as long as you care,Ruel,10/09/2020,193189,67,0.00692,0.55,0.591,0,0.11,0.308,-6.833,0.0377,78.68,4
Pretty Lady,Pretty Lady,Tash Sultana,9/04/2020,277908,65,0.705,0.471,0.602,5.73E-06,0.0936,0.573,-7.302,0.132,118.193,4
Animals,Animals,Architects,20/10/2020,244364,69,0.000123,0.532,0.759,0.02,0.073,0.293,-3.842,0.0319,95.01,4
Ain't It Different (feat. AJ Tracey & Stormzy),Ain't It Different (feat. AJ Tracey & Stormzy),Headie One,20/08/2020,196363,73,0.00988,0.767,0.569,1.45E-05,0.109,0.524,-6.805,0.216,77.052,4
Wishing Well,Legends Never Die,Juice WRLD,10/07/2020,194621,87,0.00336,0.65,0.613,0,0.267,0.0804,-6.13,0.128,149.972,4
Nothing to Love About Love,Nothing to Love About Love,Peking Duk,30/10/2020,209013,58,0.0001,0.506,0.607,3.31E-05,0.266,0.591,-7.001,0.0336,132.959,4
Your Love (Déjà Vu),Dreamland,Glass Animals,7/08/2020,234372,59,0.0167,0.851,0.663,0.363,0.103,0.605,-7.168,0.0532,108.004,4
The Glow,THE GLOW,DMA'S,10/07/2020,174266,49,1.30E-05,0.414,0.908,0,0.249,0.759,-4.09,0.038,149.941,4
In Your Eyes,After Hours,The Weeknd,20/03/2020,237520,86,0.00285,0.667,0.719,8.10E-05,0.0736,0.717,-5.371,0.0346,100.021,4
Blue - Flume Remix,Blue (Flume Remix),Eiffel 65,3/07/2020,166666,62,0.434,0.743,0.701,0.0075,0.249,0.659,-3.907,0.0886,134.987,4
I Think You're Great,The Theory of Absolutely Nothing,Alex the Astronaut,21/08/2020,226941,47,0.0157,0.622,0.863,0.00835,0.599,0.811,-5.912,0.0466,122.747,4
On The Line,On The Line,San Cisco,22/05/2020,300657,49,0.0333,0.64,0.863,0.00148,0.146,0.653,-4.547,0.031,131.073,4
Sobercoaster,Sobercoaster,Beddy Rays,22/04/2020,162319,51,7.93E-05,0.297,0.951,0,0.349,0.568,-2.502,0.0843,188.097,4
Fly Away,Fly Away,Tones And I,13/11/2020,178156,71,0.223,0.805,0.515,0,0.238,0.488,-6.201,0.0915,124.969,4
Gimme Love,Gimme Love,Joji,16/04/2020,214557,72,0.696,0.482,0.631,0.0242,0.209,0.0743,-6.917,0.0986,126.576,3
GO (feat. Juice WRLD),GO (feat. Juice WRLD),The Kid LAROI,12/06/2020,183947,68,0.185,0.544,0.744,0,0.336,0.572,-5.007,0.0889,73.699,4
Pretty Grim,Pretty Grim,Ruby Fields,24/09/2020,166013,49,0.1,0.524,0.665,0,0.0955,0.325,-4.553,0.0342,109.919,4
Run,Run,Joji,6/02/2020,195000,68,0.0416,0.447,0.72,0.000297,0.614,0.362,-3.954,0.0332,157.892,3
Day & Age,Day & Age,Ball Park Music,5/06/2020,230448,50,0.16,0.536,0.456,0.00799,0.108,0.298,-6.055,0.0339,122.004,4
Soak Me In Bleach,Everyone Loves You… Once You Leave Them,The Amity Affliction,21/02/2020,225916,49,0.000137,0.256,0.91,0,0.139,0.196,-5.278,0.119,109.656,5
C'MON (feat. Travis Barker),C'MON (feat. Travis Barker),Amy Shark,22/10/2020,220461,59,0.425,0.626,0.665,0,0.0331,0.303,-5.59,0.0458,122.004,4
Fantasising,Fantasising,Skegss,16/09/2020,206733,52,1.66E-05,0.176,0.962,0.522,0.321,0.425,-3.139,0.103,153.951,4
Boss Bitch,Boss Bitch,Doja Cat,23/01/2020,134239,82,0.127,0.707,0.955,0,0.202,0.575,-4.593,0.222,125.989,4
Lie To Me,Lie To Me,Vera Blue,20/08/2020,226853,57,0.11,0.683,0.572,1.54E-05,0.0895,0.583,-7.086,0.0447,100.035,4
Second,Second,Hope D,12/03/2020,272278,51,0.018,0.508,0.893,0,0.119,0.388,-3.542,0.0775,80.979,4
Low,Low,Chet Faker,2/10/2020,274423,64,0.131,0.651,0.533,0.181,0.158,0.573,-8.726,0.0592,79.538,4
Obey (with YUNGBLUD),Obey (with YUNGBLUD),Bring Me The Horizon,2/09/2020,220538,66,0.000103,0.462,0.99,0,0.374,0.204,-3.175,0.211,137.061,4
Way Down,Lonely Diamond,Ocean Alley,19/06/2020,200626,53,0.00307,0.639,0.653,0.0465,0.0711,0.716,-9.053,0.0321,142.942,4
Don't Need You,Don't Need You,Genesis Owusu,15/05/2020,185786,51,0.153,0.927,0.475,2.89E-05,0.0848,0.553,-6.864,0.162,119.975,4
Scream Drive Faster,Scream Drive Faster,LAUREL,11/08/2020,240666,59,0.0208,0.625,0.706,0,0.0498,0.699,-5.145,0.0316,129.987,4
Photo ID,I'm Allergic To Dogs!,Remi Wolf,24/06/2020,265263,71,0.111,0.822,0.66,0,0.143,0.802,-3.637,0.0819,113.956,4
Baby It's You,Baby It's You,London Grammar,19/08/2020,242239,60,0.085,0.508,0.827,0.0134,0.0572,0.14,-8.612,0.0357,118.009,4
House Arrest,House Arrest,Sofi Tukker,15/05/2020,216441,66,0.0187,0.654,0.818,0.103,0.0806,0.557,-6.27,0.0332,123.982,4
Lady Marmalade - triple j Like A Version,Lady Marmalade (triple j Like A Version),G Flip,13/03/2020,261924,45,0.00255,0.652,0.724,0,0.396,0.768,-7.423,0.0394,112.991,4
my future,my future,Billie Eilish,30/07/2020,208155,79,0.795,0.444,0.309,0.132,0.352,0.0875,-10.956,0.062,104.745,4
Freaks,Freaks,FISHER,20/03/2020,175255,53,0.00223,0.806,0.869,0.775,0.123,0.785,-4.344,0.0544,124.01,4
Weightless,Sunlight,Spacey Jane,12/06/2020,251053,56,0.000575,0.487,0.877,0.00341,0.135,0.385,-4.625,0.0335,99.948,4
The Clap,High Risk Behaviour,The Chats,27/03/2020,89640,48,0.0177,0.651,0.693,5.93E-06,0.0411,0.967,-6.15,0.0929,91.035,4
Down for You,Down for You,Cosmo's Midnight,31/01/2020,193716,59,0.275,0.763,0.547,1.79E-06,0.108,0.634,-8.017,0.0601,97.003,4
Chicken Tenders,What Could Possibly Go Wrong,Dominic Fike,31/07/2020,170405,63,0.268,0.746,0.741,0,0.644,0.72,-5.459,0.0567,119.983,4
Too Tough Terry,Too Tough Terry,Dune Rats,13/11/2020,157299,49,0.0523,0.595,0.985,0,0.359,0.417,-2.552,0.113,75.512,4
Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,14/08/2020,261492,88,0.244,0.761,0.518,3.47E-05,0.107,0.522,-8.871,0.134,133.976,4
Three Leaf Clover,Three Leaf Clover,Teenage Joans,26/03/2020,196358,49,0.000787,0.548,0.799,0.00262,0.268,0.509,-4.098,0.0324,124.019,4
HEART ATTACK (feat. lau.ra),BRONSON,BRONSON,7/08/2020,209600,56,0.163,0.556,0.649,0.214,0.109,0.119,-5.807,0.0781,121.999,4
In Her Eyes,In Her Eyes,The Jungle Giants,17/11/2020,174401,61,0.00373,0.89,0.505,0.438,0.0474,0.94,-3.106,0.0481,119.011,4
No Time To Die,No Time To Die,Billie Eilish,13/02/2020,242265,78,0.917,0.38,0.219,0.0104,0.0827,0.0517,-13.273,0.0358,73.537,4
Charlie - triple j Like A Version,Charlie (triple j Like A Version),Bugs,6/03/2020,235194,51,0.00706,0.394,0.557,0.00365,0.0992,0.338,-9.392,0.0374,79.496,3
These Days,These Days,Thelma Plum,28/05/2020,203250,54,0.814,0.545,0.281,0,0.108,0.427,-8.677,0.027,87.757,4
"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,28/08/2020,195428,86,0.25,0.8,0.658,0,0.111,0.462,-6.142,0.079,140.042,4
Rain,Rain,Aitch,5/03/2020,183065,67,0.0262,0.871,0.87,1.98E-06,0.109,0.83,-4.797,0.202,150.147,4
Loose Ends (feat. G Flip),Loose Ends (feat. G Flip),Illy,17/07/2020,236855,49,0.0511,0.704,0.666,0.00238,0.258,0.552,-6.652,0.0735,90.015,4
Germaphobe,Brain Candy,Hockey Dad,31/07/2020,204690,48,0.000785,0.47,0.954,0,0.0971,0.412,-3.966,0.0718,127.98,4
Audacity (feat. Headie One),Heavy Is The Head,Stormzy,13/12/2019,245920,64,0.0523,0.678,0.516,0,0.13,0.11,-4.601,0.444,133.939,4
Your Man,Nectar,Joji,25/09/2020,163758,68,0.624,0.785,0.818,0.149,0.149,0.0503,-8.711,0.099,117.98,4
Itch,Itch,Hockey Dad,14/02/2020,294063,43,0.0119,0.253,0.791,0,0.0957,0.0808,-4.889,0.0447,159.916,4
Kool,Hey u x,BENEE,13/11/2020,168736,62,0.00492,0.911,0.811,6.21E-06,0.209,0.97,-3.637,0.0509,119.054,4
Always Gonna Love You,Life Rolls On,Florida Georgia Line,12/02/2021,177026,64,0.165,0.543,0.723,0,0.11,0.428,-4.892,0.0499,143.028,4
Glad You Exist,Glad You Exist,Dan + Shay,5/02/2021,144533,76,0.235,0.748,0.551,0,0.119,0.66,-6.12,0.0349,103.953,4
Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),Ryan Hurd,12/02/2021,207973,70,0.723,0.596,0.679,0,0.116,0.479,-6.395,0.0394,131.912,4
Breakups,Breakups,Seaforth,14/01/2021,223129,68,0.436,0.531,0.552,0,0.0786,0.328,-5.945,0.0309,74.931,3
What’s Your Country Song,What's Your Country Song,Thomas Rhett,11/11/2020,170372,73,0.000532,0.355,0.706,0,0.264,0.523,-6.164,0.0309,174.005,4
Ain't No Girly Girl,Ain't No Girly Girl,Taylor Moss,20/11/2020,207500,50,0.277,0.663,0.897,2.04E-05,0.0835,0.738,-3.952,0.048,96.05,4
Should’ve Known Better,Should’ve Known Better,Carly Pearce,5/02/2021,181183,59,0.717,0.66,0.599,0,0.13,0.47,-5.924,0.0333,144.048,4
Leave Each Other Alone,The Demos,Jess Moskaluke,19/02/2021,224439,35,0.138,0.588,0.779,0,0.0805,0.496,-4.141,0.0511,120.048,4
The Great Divide,The Great Divide,Luke Combs,1/02/2021,211990,67,0.597,0.671,0.686,2.24E-06,0.283,0.547,-8.269,0.0271,111.007,4
Find Our Way,Find Our Way,Southbound,30/09/2020,164421,50,0.0341,0.528,0.932,0,0.0891,0.581,-2.289,0.0472,98.076,4
One Too Many,One Too Many,Keith Urban,16/09/2020,203893,75,0.247,0.697,0.535,0,0.569,0.594,-6.504,0.068,82.959,4
Lil Bit,Lil Bit,Nelly,23/10/2020,195962,69,0.0255,0.707,0.689,0,0.383,0.41,-7.097,0.0387,119.987,4
We Go Together Like,We Go Together Like,Abby Anderson,28/08/2020,163960,61,0.172,0.62,0.817,0,0.144,0.614,-5.317,0.0254,99.963,4
The Good Ones,Goldmine,Gabby Barrett,19/06/2020,215140,74,0.18,0.519,0.552,0,0.149,0.331,-5.023,0.0259,89.957,4
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,23/10/2020,232533,79,0.191,0.487,0.65,0,0.0933,0.456,-5.195,0.0253,151.964,4
Dirt Road,Dirt Road,Kidd G,2/10/2020,150889,72,0.519,0.796,0.516,0,0.126,0.181,-7.891,0.0744,140.012,4
Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),Chase Rice,30/11/2020,160839,71,0.185,0.627,0.678,0,0.374,0.724,-4.691,0.0294,100.032,4
Where Do We Go,Where Do We Go,Darlinghurst,29/01/2021,215113,41,0.0102,0.556,0.768,0,0.305,0.706,-6.683,0.0978,177.049,4
Lose You,Lose You,Jordan Davis,16/10/2020,203321,72,0.209,0.649,0.64,0.000532,0.0965,0.42,-6.09,0.0352,94.957,4
All I Need,Town of a Million Dreams,Casey Barnes,17/04/2020,217095,48,0.605,0.281,0.79,0.000741,0.247,0.515,-4.479,0.0379,82.493,4
Country Does,Country Does,Luke Bryan,5/02/2021,228006,60,0.0248,0.489,0.863,0,0.101,0.534,-3.895,0.0673,173.941,4
My Bad,My Bad,Teddy Swims,3/02/2021,177142,55,0.122,0.76,0.738,0,0.0787,0.313,-6.056,0.0596,137.38,4
Head Full Of Honey,Head Full Of Honey,Andrew Swift,12/02/2021,243127,39,0.246,0.61,0.888,4.95E-06,0.0663,0.757,-3.707,0.0356,99.611,4
The Way She Does,The Way She Does,Jake Davey,8/02/2021,178750,36,0.215,0.584,0.907,0.000197,0.115,0.759,-4.697,0.0489,160.025,4
Famous Friends,Famous Friends,Chris Young,20/11/2020,165569,73,0.0553,0.533,0.855,0,0.335,0.64,-2.901,0.0356,102.017,4
Tennessee,Tennessee,Katrina Burgoyne,18/12/2020,212154,35,0.19,0.423,0.548,0,0.0884,0.474,-11.545,0.0718,118.832,5
Off Road,Off Road,Brad Paisley,10/02/2021,184823,59,0.0389,0.516,0.896,0,0.145,0.625,-4.632,0.0384,144.007,4
Every Other Memory,Every Other Memory,Ryan Hurd,20/04/2020,219192,70,0.000475,0.633,0.732,0,0.108,0.515,-6.995,0.0351,103.019,4
Happy Ever After,Happy Ever After,Troy Kemp,12/02/2021,268493,40,0.152,0.453,0.66,0,0.126,0.451,-5.417,0.0305,149.751,4
Still Love You,Two Thousand Miles,Tyler Rich,4/09/2020,180253,52,0.0132,0.691,0.746,0,0.151,0.765,-5.534,0.0398,134.977,4
Lost In Us,Lost In Us,Hurricane Fall,29/01/2021,180710,43,0.0158,0.489,0.725,0,0.13,0.136,-4.455,0.0315,107.938,4
Whatever Forever Is,The Pink Slip EP,Devin Dawson,15/01/2021,217891,61,0.0308,0.635,0.827,2.39E-05,0.0838,0.936,-6.021,0.0468,154.016,4
That Ain't Me No More,That Ain't Me No More,Matt Stell,5/02/2021,191853,61,0.082,0.555,0.759,2.50E-06,0.114,0.22,-3.651,0.0305,152.052,4
Heart On Fire,Heart On Fire,Eric Church,29/01/2021,258805,61,0.0352,0.653,0.927,4.47E-05,0.0966,0.894,-4.699,0.0289,119.97,4
Things A Man Oughta Know,Redneck Hollywood,Lainey Wilson,13/09/2019,206320,68,0.518,0.661,0.67,2.20E-06,0.13,0.357,-5.58,0.0307,139.852,4
Undivided,Undivided,Tim McGraw,13/01/2021,175920,70,0.131,0.583,0.812,0,0.201,0.408,-4.684,0.0299,89.992,4
29,29,Carly Pearce,19/02/2021,222978,55,0.373,0.564,0.519,0,0.0938,0.35,-7.878,0.0294,81.028,4
Good Times Roll,Bettie James,Jimmie Allen,10/07/2020,158240,61,0.00935,0.634,0.748,0,0.172,0.704,-3.916,0.0275,95.991,4
More Beer,More Beer,Lee Brice,2/10/2020,154386,49,0.0239,0.537,0.802,0,0.176,0.776,-6.88,0.0471,152.097,4
GIVE HEAVEN SOME HELL,GIVE HEAVEN SOME HELL,HARDY,24/07/2020,217801,60,0.0525,0.639,0.843,0,0.0854,0.528,-4.975,0.0362,126.047,4
Without You,Without You,Luke Combs,18/09/2020,224986,35,0.307,0.522,0.659,0,0.102,0.355,-6.016,0.0304,141.996,4
Short Lived Love,Short Lived Love,Brad Cox,16/10/2020,278245,47,0.494,0.562,0.515,0.00733,0.0739,0.358,-7.538,0.0322,137.964,4
It's About Time (feat. Florida Georgia Line),It's About Time (feat. Florida Georgia Line),Russell Dickerson,20/11/2020,175772,71,0.249,0.765,0.92,0,0.618,0.799,-4.362,0.0984,121.011,4
Minimum Wage,Minimum Wage,Blake Shelton,15/01/2021,228186,70,0.00187,0.546,0.934,0,0.062,0.775,-3.796,0.0643,89.972,4
We're Good Together,Town of a Million Dreams,Casey Barnes,17/04/2020,179674,48,0.221,0.712,0.763,0.000109,0.0855,0.896,-4.08,0.0288,99.962,4
Middle Ground,Middle Ground,Rachael Fahim,13/11/2020,170944,46,0.148,0.492,0.826,0,0.304,0.518,-1.584,0.0337,82.05,4
Beers And Sunshine,Beers And Sunshine,Darius Rucker,6/08/2020,178278,73,0.134,0.57,0.645,0,0.147,0.677,-5.816,0.0304,81.084,4
Close Enough,Close Enough,Seaforth,6/11/2020,201494,52,0.0707,0.644,0.645,0,0.126,0.949,-6.193,0.0471,169.903,4
hole in the bottle (with Shania Twain),hole in the bottle (with Shania Twain),Kelsea Ballerini,13/11/2020,156275,68,0.106,0.598,0.839,0,0.372,0.783,-4.605,0.111,105.084,4
Song About You,Song About You,Sam Grow,17/04/2020,180890,59,0.000895,0.57,0.767,1.18E-05,0.097,0.713,-4.287,0.0331,110.995,4
Doing Life With Me,Doing Life With Me,Eric Church,11/12/2020,195586,70,0.73,0.646,0.598,5.87E-06,0.118,0.606,-10.293,0.0425,80.993,4
Girl Outta The Country,Girl Outta The Country,Travis Collins,17/07/2020,205190,44,0.028,0.526,0.75,0,0.417,0.513,-5.717,0.0396,149.963,4
I Just Feel Like Dancing,I Just Feel Like Dancing,Bryce Sainty,12/02/2021,158341,36,0.105,0.623,0.78,0,0.0553,0.787,-3.616,0.0632,101.698,4
One Kind Of Beautiful,One Kind Of Beautiful,Brock Colley,5/11/2020,170117,42,0.234,0.58,0.665,0,0.193,0.399,-7.257,0.0377,84.954,4
Anybody Ever,Anybody Ever,The Wolfe Brothers,23/10/2020,174175,44,0.183,0.801,0.753,0,0.133,0.778,-5.646,0.032,119.998,4
Lightning Strikes (feat. Lauren Alaina),Lightning Strikes (feat. Lauren Alaina),The Shires,19/10/2020,173720,47,0.0855,0.62,0.717,0,0.141,0.571,-5.559,0.0854,101.787,4
Like a Hit to Me,Like a Hit to Me,Troy Kemp,18/12/2020,194987,41,0.0759,0.587,0.792,0,0.142,0.721,-3.348,0.0467,92.874,4
Be With You,Be With You,Kaylee Bell,24/09/2020,172963,42,0.00376,0.393,0.878,0.234,0.0895,0.631,-3.061,0.0628,89.994,4
O I End,O I End,Nils Frahm,24/02/2021,289903,2,0.97,0.179,0.112,0.904,0.116,0.0356,-20.531,0.0361,143.342,4
"Symphony No. 5 in B-Flat Major, Op. 100: II. Scherzo Allegro marcato","Symphony No. 5 in B-Flat Major, Op. 100: II. Scherzo Allegro marcato",Sergei Prokofiev,23/02/2021,513880,1,0.96,0.415,0.148,0.909,0.0796,0.267,-18.514,0.0395,82.646,4
Two Journeys,Two Journeys,Jef Martens,21/02/2021,110625,14,0.983,0.307,0.0645,0.951,0.0968,0.286,-25.705,0.0312,90.474,4
Moon River,Moon River,The Sweetgreens,23/10/2020,193512,63,0.885,0.601,0.0371,0.578,0.0991,0.121,-25.963,0.0399,112.603,4
Send In the Clowns,Ain't Misbehavin',Michael Soriano Trio,9/11/2020,206963,53,0.941,0.408,0.239,0.851,0.104,0.172,-14.704,0.0341,151.622,3
Everything Happens To Me,Presenting The Gerry Mulligan Sextet,Gerry Mulligan,1/01/1955,323373,18,0.958,0.63,0.0665,0.771,0.222,0.27,-17.453,0.0725,64.162,4
Hush,Hush,Dan Evans-Parker,15/05/2020,226958,59,0.945,0.352,0.0235,0.781,0.115,0.119,-19.128,0.0348,89.874,4
Can't Help Falling in Love,Can't Help Falling in Love,Newington Green,10/12/2020,190616,53,0.843,0.706,0.0548,0.906,0.0814,0.186,-24.024,0.0474,116.311,3
If You Could See Me Now,Moon Beams [Original Jazz Classics Remasters],Bill Evans Trio,1962,269853,23,0.927,0.528,0.115,0.557,0.232,0.0874,-21.438,0.0328,61.512,4
After You've Gone,After You've Gone,Magpie Jazz Trio,14/03/2020,184280,52,0.974,0.385,0.0787,0.848,0.113,0.147,-18.747,0.0375,60.327,4
Longing,Longing,Basinettes,2/10/2020,196783,51,0.869,0.535,0.0689,0.0292,0.0766,0.211,-21.391,0.038,123.288,4
Alone Together - Rudy Van Gelder Remaster,Quiet Kenny,Kenny Dorham,1/01/1992,190400,50,0.985,0.336,0.0619,0.891,0.11,0.197,-20.494,0.0363,60.705,4
Once I Had A Secret Love,Dear Old Stockholm,CMC 3,2/10/2020,258185,62,0.966,0.276,0.232,0.952,0.107,0.157,-17.572,0.0336,81.423,3
Ascent,Balance Point,Art Hirahara,17/04/2020,250869,64,0.945,0.465,0.0604,0.893,0.108,0.0394,-23.367,0.042,101.23,4
For Heavens Sake,House Of Jade,Eugene Lambert,20/12/2019,227333,57,0.98,0.532,0.208,0.825,0.156,0.137,-11.161,0.0328,74.393,4
Abisko,Abisko,Norberg,18/09/2020,168190,63,0.883,0.547,0.0608,0.552,0.0952,0.132,-19.962,0.0317,105.068,4
"Bewitched, Bothered and Bewildered","Songs: The Art of the Trio, Vol. 3",Brad Mehldau,15/09/1998,358533,46,0.954,0.433,0.0662,0.852,0.0713,0.162,-19.398,0.0403,107.241,4
Lower East Side,Lower East Side,Duponte et Duponte,28/08/2020,232343,55,0.905,0.386,0.131,0.0254,0.106,0.192,-14.107,0.0337,70.522,4
It's Your Smile,It's Your Smile,Wendy Marcini,14/08/2020,175971,56,0.957,0.274,0.351,0.547,0.126,0.128,-12.784,0.0362,59.043,4
Easy Living,A Drums Comes True,Massimo Faraò,24/08/2020,381653,52,0.62,0.502,0.175,0.0359,0.152,0.329,-22.095,0.0379,63.082,4
Last Dance,Waltz At Midnight,Midtown Trio,11/12/2020,208881,59,0.969,0.655,0.121,0.932,0.314,0.331,-16.842,0.0365,88.724,3
"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)",Kind Of Blue,Miles Davis,17/08/1959,586493,49,0.662,0.629,0.278,0.000229,0.106,0.503,-12.229,0.0329,128.453,4
Postcards,Postcards,Greydon Park Band,2/10/2020,185459,59,0.934,0.431,0.0434,0.253,0.112,0.0753,-22.086,0.031,94.182,4
Nuages ​​Creux,Nuages ​​Creux,Lydia Baskow Trio,2/12/2020,157500,64,0.775,0.279,0.0331,0.00863,0.0938,0.212,-21.254,0.041,98.321,4
In Thoughtful,Newselves,MEGTARO,24/06/2020,242600,54,0.963,0.486,0.1,0.861,0.0808,0.236,-23.329,0.0419,95.025,4
Winchester In Apple Blossom Time,Maiden Voyage,Mandevilla,22/01/2021,198701,58,0.962,0.415,0.126,0.77,0.0985,0.237,-18.253,0.0578,177.535,3
Don't Mind Me,Don't Mind Me,James Earle Trio,28/05/2020,258000,54,0.886,0.35,0.188,0.878,0.117,0.093,-17.475,0.0401,48.701,4
I Got It Bad And That Ain't Good,Night Train (Expanded Edition),Oscar Peterson Trio,1/01/1963,306226,59,0.971,0.488,0.0527,0.911,0.0882,0.193,-27.331,0.0478,49.689,4
My Ideal,My Ideal,Tate Jackson Trio,7/01/2021,230928,44,0.921,0.384,0.0808,0.912,0.224,0.111,-22.34,0.0384,111.208,4
Little Person,Weltentraum,Michael Wollny,31/01/2014,223759,35,0.887,0.464,0.0653,0.743,0.0764,0.0626,-22.124,0.0403,115.168,4
Long Ago (and Far Away),Long Ago (and Far Away),James Jackson Jazz Trio,19/03/2020,209709,54,0.922,0.674,0.159,0.865,0.128,0.298,-16.441,0.0409,120.246,4
Little waltz,The Vanguard Date,Steve Kuhn,9/04/2013,400573,44,0.931,0.377,0.0768,0.85,0.675,0.0545,-21.395,0.0462,67.136,3
Cherie,Cherie,Vernon Sanders,14/02/2020,248750,54,0.979,0.378,0.0761,0.61,0.185,0.0698,-23.045,0.0351,111.29,4
Misty Morning,Misty Morning,Mino Conte & Co,2/10/2020,193606,57,0.903,0.489,0.228,0.0912,0.124,0.18,-16.06,0.0328,73.636,4
People Time,People Time,Claudio Chiara,16/12/2020,266066,47,0.872,0.494,0.163,0.00594,0.0633,0.362,-10.576,0.0546,65.823,4
Never Let Me Go,Lil' Darlin',Alexander Martin Jazz Trio,5/10/2020,258919,56,0.924,0.436,0.157,0.753,0.381,0.185,-17.516,0.0346,84.389,4
A Time For Love,On A Misty Night,Mandevilla,16/10/2020,308187,60,0.972,0.413,0.216,0.933,0.366,0.12,-18.276,0.0323,121.925,4
L'Espace,Transitions,Joel Haynes Trio,9/06/2008,447360,45,0.875,0.456,0.282,0.586,0.904,0.155,-14.318,0.0516,121.665,4
Everytime We Say Goodbye,How Long Has This Been Going On,Billy Charlotte,25/01/2021,245713,52,0.914,0.46,0.215,0.772,0.125,0.198,-16.813,0.0291,96.269,4
Peace,Peace,Winter Jazz Trio,8/02/2021,205278,11,0.957,0.511,0.19,0.737,0.189,0.113,-15.757,0.0332,97.135,4
Landing,Landing,Red Brick Lane,15/05/2020,181389,58,0.927,0.292,0.0382,0.915,0.101,0.167,-17.212,0.0378,53.081,4
In a Sentimental Mood,The Time is Now,David Hazeltine,26/10/2018,467236,41,0.975,0.498,0.0619,0.812,0.097,0.135,-22.658,0.0373,115.231,4
Pretty Ballad,Pretty Ballad,Louis Silva Band,3/06/2020,206854,58,0.936,0.422,0.174,0.929,0.367,0.0858,-15.427,0.0378,95.089,4
Goodbye Pork Pie Hat,Ah Um,Charles Mingus,1959,342373,57,0.957,0.356,0.0937,0.096,0.209,0.278,-16.64,0.0353,86.669,3
Jazzanooga,Jazzanooga,Chattanooga Trio,25/11/2020,167569,61,0.882,0.588,0.0493,0.496,0.136,0.202,-20.4,0.0355,99.929,4
Vesper,Vesper,Dries Riesen,21/08/2020,254060,61,0.92,0.153,0.0186,0.376,0.107,0.167,-21.146,0.0399,82.152,4
It Never Entered My Mind,Acceptance,Billy Childs,28/08/2020,312146,43,0.941,0.521,0.0774,0.926,0.118,0.183,-23.987,0.0418,120.755,4
Litania,Litania,Sparrow & Bird,25/09/2020,235174,62,0.596,0.531,0.0282,0.314,0.114,0.157,-20.689,0.0337,94.739,4
Stardust,Two Of A Mind,Paul Desmond,25/05/1996,503226,16,0.975,0.512,0.0764,0.000566,0.13,0.346,-19.709,0.0589,115.376,4
