name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
She Remembers (Piano Solo),She Remembers (Piano Solo),Pieter Savenberg,2UaXTR0Xv4SCDQ6wIlVNxC,30/07/2020,27,122537,0.619,0.996,0.0203,0.944,0.0812,0.337,-26.572,0.0369,135.86,6,4,Calm
Shifts Of Light,Still Waters,Avery Young,0KN1zd8K3MTPQyix892mCf,30/10/2018,53,261613,0.455,0.931,0.216,0.921,0.0839,0.179,-20.107,0.0363,171.936,3,4,Calm
Silver Lining,Silver Lining,Pieter de Graaf,4w7vMUyVony198G1c79PSq,17/04/2020,46,225839,0.317,0.986,0.106,0.899,0.111,0.108,-20.574,0.0302,78.66,1,4,Calm
Sintra,Reflections,Made Of Gold,0b6iQfSLnYGz5VCzwndLz9,9/06/2020,49,201951,0.395,0.984,0.147,0.909,0.0724,0.167,-19.174,0.051,164.176,2,4,Calm
Snowfall,Piano Piano,Florejan,51USOvxeXLH3EvL3RwWJp7,29/11/2019,31,164703,0.437,0.984,0.0747,0.914,0.109,0.175,-20.209,0.0648,117.078,1,4,Calm
Solitude,Solitude,Joep Beving,21UkknmSYISvDaQbaMIOgq,17/04/2020,57,225829,0.342,0.995,0.0311,0.92,0.131,0.0634,-26.999,0.0355,97.622,9,3,Calm
Someday,Chapter I,City of the Sun,5zOetBDO9NONS4KnIBXtnx,15/11/2019,53,288040,0.572,0.265,0.571,0.917,0.109,0.115,-10.067,0.0331,96.986,8,4,Calm
Stay Home,Stay Home,Golden Sleep,5NRWr6U9kBI3NP7Hr7fyy8,24/04/2020,34,176000,0.234,0.992,0.174,0.942,0.148,0.362,-21.752,0.0376,66.301,9,4,Calm
Stay Still,Stay Still,Alberto L. Ferro,12nlJypOUmAV4VQxFvfAw1,20/03/2020,30,283506,0.382,0.987,0.0305,0.783,0.0921,0.0835,-26.271,0.0574,72.398,11,4,Calm
Stormy Weather,Stormy Weather,Lost Horse Mine,7oXWUVH2t0UR11AvhhY8GQ,30/08/2019,50,150169,0.444,0.00308,0.382,0.816,0.0915,0.197,-9.324,0.0397,123.59,2,3,Calm
Strange Dreams,Solo Piano,Ella van der Woude,0YXPmthF2oHLQCYIGkSrZy,14/02/2020,30,133918,0.308,0.988,0.0229,0.819,0.0935,0.148,-26.941,0.0406,145.717,9,4,Calm
Suhpratti,Hum,Parazal,4A6C6K8c8IukPda2f0rI8J,24/07/2020,38,186542,0.564,0.974,0.0515,0.765,0.114,0.214,-15.118,0.0338,93.961,11,4,Calm
Summer Boredom,Solo Piano,Ella van der Woude,1B96GJer0xmo0t9rZg5V4c,14/02/2020,29,150031,0.496,0.994,0.0281,0.951,0.0813,0.157,-24.864,0.0372,72.124,2,3,Calm
Takeoff,Takeoff,Silo Silo,4iKSrwTBu0vLSqmZUXSGXr,1/05/2020,53,194666,0.44,0.625,0.32,0.886,0.0823,0.0694,-12.011,0.0323,180.036,4,4,Calm
Target,Target,Tom Kalani,60tHXabTlAhzlkXRDWl9cp,16/11/2019,55,183000,0.55,0.714,0.471,0.952,0.0815,0.261,-16.049,0.0295,159.983,5,4,Calm
Tegel,Tegel,Lambert,5Vh9sUjTiivWtvKmif40wy,1/05/2020,42,151764,0.233,0.993,0.0997,0.937,0.105,0.123,-25.616,0.0456,84.309,1,4,Calm
The Choice,The Last of Us,Gustavo Santaolalla,2IXJyG1DX93g2EhFXghz37,7/06/2013,59,102373,0.303,0.909,0.00338,0.89,0.116,0.347,-30.932,0.0493,50.96,4,4,Calm
The Disappearance of the Unmoved Mover,The Disappearance of the Unmoved Mover,So Vea,62uEGHla1SOT2rhVAyMn6K,6/03/2020,54,269296,0.627,0.879,0.427,0.878,0.0977,0.132,-11.498,0.0283,112.043,11,4,Calm
The Discovery,The Discovery,Sulfur Springs,5NKK0t7lYlyDsT5auDYKmq,4/10/2019,55,193000,0.414,0.827,0.127,0.822,0.0919,0.0354,-22.097,0.0383,130.021,0,4,Calm
The Dreamer,The Dreamer,Charles Bolt,3XnQ3OqmfvP5Sh6gACEKnG,19/03/2020,55,178148,0.235,0.983,0.0363,0.92,0.0823,0.0481,-18.9,0.0335,160.704,0,5,Calm
The Five Times I Loved You,Pyramid Train,Cora Zea,0W4RUo3m0jL0wHADS0PLme,15/05/2020,50,205695,0.41,0.988,0.0845,0.93,0.109,0.0795,-21.814,0.0327,92.033,4,4,Calm
The Night We Met - Rework,The Night We Met,Nico Casal,6lUDMNgZEaXVprnVgoprfT,17/07/2020,31,177322,0.506,0.992,0.0434,0.866,0.123,0.0823,-19.948,0.0442,110.723,9,5,Calm
The Snailâ€™s Teachings II: The Wonders of,In Between (B-Side),Steven Vrancken,2plPRo1J2A2erccAh1eJMB,5/06/2020,37,198250,0.334,0.944,0.00961,0.901,0.105,0.0916,-27.24,0.0416,68.153,5,3,Calm
The Times Are Tired,Views from Sixteen Stories,Alaskan Tapes,1c6aKOdOoR1TFqn0JTyc4R,19/09/2019,26,242466,0.216,0.792,0.195,0.93,0.102,0.14,-14.026,0.0382,61.555,8,3,Calm
This Reminds You - Satie Remix,This Reminds You,Remy Van Kesteren,7sJm369JitaQLnkymEMe7f,1/02/2019,0,321146,0.258,0.87,0.0589,0.898,0.148,0.0378,-23.782,0.0381,98.874,5,4,Calm
Time Out,Time Out,Amoll,4CYsf9MUjowxTMTVT39hTL,3/01/2020,32,174240,0.695,0.988,0.0761,0.929,0.133,0.262,-17.043,0.0399,125.017,9,4,Calm
Time Travel,Rooftops,AMBIE,2ENH05Q7PkilEF6WujXNjG,22/06/2020,39,160788,0.502,0.965,0.289,0.913,0.153,0.156,-17.378,0.0307,137.926,8,4,Calm
Tiptoeing,Tiptoeing,Jacco Wynia,28nLvoHu6NbkHNPmoxR8uD,20/03/2020,37,120536,0.467,0.986,0.137,0.928,0.101,0.0687,-23.087,0.043,118.715,0,4,Calm
Tomorrow,Tomorrow,Annelie,6TcYEIp0uV6lxkmt4FCqf5,3/07/2020,39,208520,0.325,0.964,0.0809,0.839,0.118,0.0604,-24.493,0.0527,178.307,5,4,Calm
Trastevere,Universo en Miniatura Vol. 1,SebastiÃ¡n Escofet,3rRL23xxAPJ75K3wGBKZIO,5/07/2019,52,167613,0.42,0.886,0.272,0.834,0.0841,0.38,-14.843,0.0423,180.031,4,3,Calm
Trees - Solo Piano,Trees,Patrick Hamilton,2SDxYHBST2s6dGodsgnNbM,26/06/2020,31,174890,0.282,0.957,0.0717,0.919,0.0996,0.206,-25.816,0.053,163.128,5,4,Calm
Tu Vois,Tu Vois,Bram de Looze,5ewE85NIsYxn02MhetYKqs,3/01/2020,0,495880,0.351,0.995,0.0077,0.919,0.0803,0.0728,-23.17,0.0543,75.742,9,4,Calm
Tuesday,Tuesday,Annelie,2GuchYit1FmdtXTxl6SbUE,3/04/2020,47,191293,0.323,0.99,0.0214,0.902,0.0891,0.0703,-30.328,0.0384,104.033,4,4,Calm
Understudy,Understudy,Josie Mehlin,0Y41ZfnVaNRQp9dQiagwbC,14/09/2019,51,163875,0.494,0.983,0.263,0.92,0.0746,0.105,-16.818,0.0325,159.875,0,4,Calm
Universe,Universe,Noah Vanden Abeele,0VrJzyZPEkz3VliJoU3w6A,12/10/2018,25,250987,0.623,0.994,0.134,0.935,0.192,0.171,-18.953,0.0478,62.562,5,4,Calm
Used to Be,Used to Be,Jurrivh,0p44zFo2S1c50vmx0B7mPF,20/06/2020,38,265641,0.201,0.989,0.0394,0.839,0.0881,0.0754,-21.798,0.0334,73.742,10,4,Calm
Vague,Envision,Amaranth Cove,3IOXceWmoCrTyl5TXFDzWu,3/01/2020,59,143000,0.32,0.881,0.253,0.935,0.121,0.125,-17.843,0.0356,140.029,10,4,Calm
Valse Lente,Valse Lente,Wilson TrouvÃ©,6eTQcsb7NrdgPIZAHchT9k,1/05/2020,31,145807,0.366,0.996,0.0518,0.909,0.179,0.39,-26.901,0.0402,182.774,3,3,Calm
Waiting like the Storm,Nocturne in Green,Rand Aldo,1CIIzFfELXMwLyKaGdpTul,6/12/2019,52,257625,0.162,0.946,0.0564,0.889,0.101,0.0361,-20.696,0.0341,60.01,5,4,Calm
Watching Clouds Disappear,Watching Clouds Disappear,Florejan,18HZyQSQdmtxv5i9YSHJTw,15/05/2020,35,142861,0.495,0.99,0.0191,0.902,0.113,0.243,-26.317,0.0362,112.814,5,4,Calm
Water Colors,Water Colors,Star Slide,7rpGOF9MwCP2Oaz9yDO452,18/09/2019,50,182079,0.465,0.633,0.12,0.937,0.085,0.0659,-19.328,0.0386,72.021,7,4,Calm
Water Lillies,Water Lillies,A Teardrop In The Lake,1sVIrkPZob1Ul6aIqy8n8z,27/03/2020,49,228000,0.234,0.848,0.226,0.942,0.111,0.0388,-15.991,0.0368,139.921,0,5,Calm
What Should Have Been,What Should Have Been,Ron Verboom,0joCizO7Hg4JxL3o9mRAKA,6/03/2020,30,152157,0.322,0.994,0.149,0.92,0.122,0.0655,-17.948,0.0515,114.695,2,4,Calm
What You Love You Must Love Now,Everywhere And Right Here,The Six Parts Seven,3L0fPX8biELkH57fF3Exkd,16/08/2004,59,322160,0.256,0.367,0.456,0.881,0.119,0.0682,-10.865,0.0306,70.357,4,4,Calm
When The World Stood Still,When The World Stood Still,Florejan Verschueren,0w9rKPt8242huJZKFA1zGX,10/07/2020,35,217339,0.461,0.989,0.0167,0.848,0.11,0.259,-22.104,0.0509,73.77,9,3,Calm
When They Come,When They Come,Threading Hair,100jBpD7nuiMriR7ErXQ9S,16/09/2019,57,262000,0.501,0.922,0.378,0.825,0.115,0.193,-14.959,0.0269,108.034,6,4,Calm
When You Left,When You Left,Rouge Haven,1uu52K2fxY7Hl4LQ8AtTyY,21/04/2020,52,177224,0.56,0.984,0.0853,0.918,0.108,0.113,-15.918,0.0324,96.646,5,4,Calm
While the Rest of the World Sleeps,While the Rest of the World Sleeps,Josh Kramer,4Hi0t9QQODb9k3aSM8SFb6,31/01/2020,35,231841,0.423,0.988,0.0442,0.947,0.108,0.182,-21.088,0.0378,73.407,11,4,Calm
White Sparks,White Sparks,Wilson TrouvÃ©,7LF1XX9NNuvFtrRliJSEoh,13/12/2019,30,126801,0.574,0.989,0.0835,0.935,0.117,0.265,-22.763,0.0413,106.027,10,4,Calm
Whitehaven,Whitehaven,MartÃ¨n LeGrand,2WuNoTD5hLhu1yVgMarTFq,31/07/2020,28,219000,0.498,0.983,0.18,0.928,0.0924,0.038,-19.819,0.0426,77.407,4,3,Calm
Wild Trails,Wild Trails,Epi-Soothe,2urxHALnoeVxG82o57q0ny,27/08/2019,52,218501,0.213,0.742,0.233,0.881,0.149,0.0378,-14.347,0.0289,94.94,4,3,Calm
Willet,Swan,Dust Follows,6UesrqZXshkMjY07kVnlkU,27/03/2020,48,179610,0.425,0.967,0.168,0.818,0.16,0.0376,-14.064,0.0322,90.076,0,4,Calm
Winter Scenery,Winter Scenery,Wilson TrouvÃ©,2F4iGuSSSRWpYCeWN4SoRr,21/02/2020,29,171283,0.79,0.993,0.179,0.965,0.102,0.562,-25.43,0.0853,80.993,11,4,Calm
Wolkendans,Soms Alleen,Doeke,3BuuxHhwQ4AQvDA9dzvSry,10/07/2020,32,120029,0.38,0.996,0.0355,0.91,0.115,0.22,-27.118,0.0465,179.205,0,4,Calm
Woodland Heart,Woodland Heart,Ghost Of Summer,1z7GhYG0KqAmebdLfuoYho,30/08/2019,53,160105,0.516,0.84,0.177,0.817,0.135,0.132,-20.473,0.0312,94.994,3,3,Calm
You Are Safe With Me,delta/alpha,Jef Martens,4t2XUVB63KvQWeAlAaaqAz,1/05/2020,35,86125,0.392,0.99,0.039,0.949,0.1,0.389,-27.643,0.0312,99.731,9,4,Calm
alpha waves,alpha waves,Eucalyptic,5ZCW5CDwhfXJGL2MzxGwhx,11/11/2019,59,205127,0.561,0.795,0.314,0.876,0.115,0.0883,-16.989,0.0281,95.931,4,4,Calm
coeur noir,coeur noir,Leo Nocta,0JsYp2UosjQpePYbHCvXWZ,17/07/2020,34,262280,0.235,0.926,0.233,0.89,0.069,0.164,-21.173,0.0712,66.866,11,3,Calm
mellow,sleep escape,cloudcrush,1yJXNOEP2bq1N1691n37oS,20/05/2020,48,144434,0.609,0.985,0.157,0.792,0.112,0.0698,-15.792,0.0322,111.966,0,4,Calm
the frost,sentience,praam,7l4b5JYnl1WwUfvJgKmUwr,24/01/2020,35,254440,0.259,0.956,0.259,0.942,0.0923,0.0403,-18.89,0.0594,123.693,3,4,Calm
the theme song,notion,Teodor Wolgers,3n2QaRyg5nTg5Cwwq5mw3Q,24/04/2020,36,159840,0.604,0.986,0.03,0.952,0.105,0.15,-27.007,0.0386,117.781,0,4,Calm
windcatcher,windcatcher,Leo Nocta,59VApBbrS2IADQk4ml5mdo,19/06/2020,36,123066,0.402,0.961,0.236,0.919,0.0921,0.146,-20.615,0.0603,129.736,0,3,Calm
Ã¦fre,Ã¦fre,praam,2irbT1BSYaIEF44PlyKaoM,17/07/2020,41,186331,0.377,0.994,0.0156,0.881,0.0991,0.0804,-28.435,0.0397,140.179,0,4,Calm
